antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'Adventure'}),frozenset({'Action'}),0.12964483678916033,0.18764114144939437,0.06261547936768631,0.4829770387965163,2.573939995599378,1.0,0.038288774209547835,1.5712239484677106,0.7025758914502368,0.2458686013704152,0.36355348900122086,0.40833753471554485
frozenset({'Action'}),frozenset({'Adventure'}),0.18764114144939437,0.12964483678916033,0.06261547936768631,0.3336980306345734,2.5739399955993774,1.0,0.038288774209547835,1.3062473221259567,0.7527345190303966,0.2458686013704152,0.23444819134827383,0.40833753471554485
frozenset({'Thriller'}),frozenset({'Action'}),0.19441593102032437,0.18764114144939437,0.06723465407513858,0.34582893347412885,1.8430336268626715,1.0,0.030754226862538196,1.2418141066140818,0.5678070359735743,0.21356374307140527,0.19472649354371535,0.3520720159712001
frozenset({'Action'}),frozenset({'Thriller'}),0.18764114144939437,0.19441593102032437,0.06723465407513858,0.35831509846827136,1.8430336268626715,1.0,0.030754226862538196,1.255420015426127,0.5630717233157203,0.21356374307140527,0.2034538340058486,0.3520720159712001
frozenset({'Romance'}),frozenset({'Comedy'}),0.1638267296243071,0.385547115582016,0.09074112091972901,0.5538847117794486,1.4366200378475478,1.0,0.027578197857842587,1.3773410161953685,0.3634673987066356,0.19785138764547902,0.2739633916063129,0.39462073714638035
frozenset({'Comedy'}),frozenset({'Romance'}),0.385547115582016,0.1638267296243071,0.09074112091972901,0.23535676251331206,1.4366200378475478,1.0,0.027578197857842587,1.0935469371626403,0.49462168891818475,0.19785138764547902,0.08554451023872897,0.39462073714638035
frozenset({'Drama'}),frozenset({'Crime'}),0.44764935331554095,0.1230753438718949,0.06538698419215767,0.1460674157303371,1.1868129808548324,1.0,0.010292386098816102,1.026924926255281,0.2849770560233301,0.12939264676010567,0.026218982095861407,0.33867173955824614
frozenset({'Crime'}),frozenset({'Drama'}),0.1230753438718949,0.44764935331554095,0.06538698419215767,0.5312760633861552,1.1868129808548324,1.0,0.010292386098816102,1.1784135682823245,0.17949918511782037,0.12939264676010567,0.15140148847945065,0.33867173955824614
frozenset({'Thriller'}),frozenset({'Crime'}),0.19441593102032437,0.1230753438718949,0.058406897967563126,0.3004223864836325,2.440963210278188,1.0,0.03447909040306211,1.2535058858163253,0.7327921187984715,0.22543581616481773,0.2022374914109268,0.38749226079811316
frozenset({'Crime'}),frozenset({'Thriller'}),0.1230753438718949,0.19441593102032437,0.058406897967563126,0.47456213511259376,2.440963210278188,1.0,0.03447909040306211,1.5331671408041758,0.6731771682465649,0.22543581616481773,0.3477553924906841,0.38749226079811316
frozenset({'Drama'}),frozenset({'Romance'}),0.44764935331554095,0.1638267296243071,0.09587353726134264,0.2141710616831002,1.3073023075919563,1.0,0.022536607689221583,1.0640652559405885,0.4255738427737854,0.18594465458889112,0.060208014107139995,0.3996920471322769
frozenset({'Romance'}),frozenset({'Drama'}),0.1638267296243071,0.44764935331554095,0.09587353726134264,0.5852130325814536,1.3073023075919563,1.0,0.022536607689221583,1.3316489911002969,0.28112114509768465,0.18594465458889112,0.24905135911698967,0.3996920471322769
